,s1_buys_per_trial,s1_sells_per_trial,s2_buys_per_trial,s2_sells_per_trial,holds_per_trial,illegal_action_trial,profits_per_trial,ranges_per_trial
0,0,1,0,0,0,True,0.0,"(466, 1496)"
1,0,1,0,0,0,True,0.0,"(60, 1090)"
2,604,42,312,35,37,False,45401.62,"(350, 1380)"
3,407,1,387,2,233,False,56216.6,"(921, 1951)"
4,235,0,0,1,0,True,11033.050000000003,"(725, 1755)"
5,274,217,537,2,0,False,19034.050000000003,"(183, 1213)"
6,1,2,392,2,1,True,22133.699999999997,"(697, 1727)"
7,195,196,198,1,4,True,16242.020000000004,"(988, 2018)"
8,258,125,310,2,335,False,37973.38,"(932, 1962)"
9,473,431,119,3,4,False,630.7700000000041,"(167, 1197)"
10,0,1,7,0,0,True,192.74000000000524,"(578, 1608)"
11,0,1,0,0,0,True,0.0,"(933, 1963)"
12,0,1,0,0,0,True,0.0,"(488, 1518)"
13,0,1,0,0,0,True,0.0,"(283, 1313)"
14,0,1,0,0,0,True,0.0,"(658, 1688)"
15,0,1,0,0,0,True,0.0,"(360, 1390)"
16,0,1,0,0,0,True,0.0,"(56, 1086)"
17,0,1,0,0,0,True,0.0,"(568, 1598)"
18,0,1,0,0,0,True,0.0,"(805, 1835)"
19,0,1,0,0,0,True,0.0,"(16, 1046)"
20,0,1,0,0,0,True,0.0,"(457, 1487)"
21,0,1,0,0,0,True,0.0,"(836, 1866)"
22,0,1,0,0,0,True,0.0,"(510, 1540)"
23,0,1,0,0,0,True,0.0,"(593, 1623)"
24,0,1,0,0,0,True,0.0,"(238, 1268)"
25,0,1,0,0,0,True,0.0,"(55, 1085)"
26,0,1,0,0,0,True,0.0,"(8, 1038)"
27,0,1,0,0,0,True,0.0,"(74, 1104)"
28,0,1,0,0,0,True,0.0,"(911, 1941)"
29,0,1,0,0,0,True,0.0,"(566, 1596)"
30,286,287,265,2,151,True,21935.22,"(680, 1710)"
31,398,350,256,23,3,False,2037.3099999999977,"(38, 1068)"
32,681,315,33,0,1,False,15721.940000000002,"(779, 1809)"
33,494,221,94,71,150,False,6638.669999999998,"(788, 1818)"
34,127,0,0,1,0,True,7681.130000000005,"(696, 1726)"
35,208,24,41,42,246,True,4379.729999999996,"(245, 1275)"
36,365,179,127,63,296,False,10931.100000000006,"(929, 1959)"
37,325,186,181,114,224,False,4365.149999999994,"(951, 1981)"
38,361,101,300,264,4,False,12534.570000000007,"(609, 1639)"
39,134,0,0,1,0,True,5077.600000000006,"(817, 1847)"
40,349,0,0,1,0,True,13632.740000000005,"(312, 1342)"
41,462,139,122,100,207,False,12240.089999999997,"(464, 1494)"
42,465,7,0,1,184,True,19896.770000000004,"(530, 1560)"
43,194,0,0,1,199,True,5358.270000000004,"(157, 1187)"
44,489,117,93,48,283,False,18305.960000000006,"(355, 1385)"
45,0,0,0,1,226,True,0.0,"(700, 1730)"
46,147,1,1,0,881,False,5815.369999999995,"(530, 1560)"
47,0,1,0,0,106,True,0.0,"(424, 1454)"
48,0,1,0,0,53,True,0.0,"(410, 1440)"
49,0,1,0,0,31,True,0.0,"(441, 1471)"
50,0,1,0,0,116,True,0.0,"(191, 1221)"
51,321,1,140,62,506,False,21340.850000000006,"(636, 1666)"
52,0,1,0,0,31,True,0.0,"(695, 1725)"
53,228,1,3,0,798,False,9651.210000000006,"(701, 1731)"
54,0,1,1,0,54,True,74.58000000000175,"(772, 1802)"
55,2,2,0,1,478,True,-10.190000000002328,"(59, 1089)"
56,1,0,0,1,355,True,38.63000000000466,"(727, 1757)"
57,0,0,0,1,3,True,0.0,"(102, 1132)"
58,0,1,0,0,141,True,0.0,"(820, 1850)"
59,0,1,3,0,160,True,168.74000000000524,"(918, 1948)"
60,0,0,0,1,111,True,0.0,"(25, 1055)"
61,0,0,0,1,73,True,0.0,"(295, 1325)"
62,0,0,0,1,20,True,0.0,"(253, 1283)"
63,2,0,0,1,96,True,81.69999999999709,"(558, 1588)"
64,235,1,325,43,426,False,44320.71,"(777, 1807)"
65,303,1,403,2,321,False,47852.28,"(534, 1564)"
66,290,1,464,129,146,False,12800.699999999997,"(10, 1040)"
67,6,0,0,1,0,True,160.0399999999936,"(277, 1307)"
68,495,4,199,138,194,False,15582.160000000003,"(816, 1846)"
69,367,96,178,66,323,False,16469.380000000005,"(289, 1319)"
70,1,0,0,1,94,True,34.830000000001746,"(278, 1308)"
71,555,132,236,63,44,False,26378.559999999998,"(491, 1521)"
72,339,3,238,219,231,False,7937.830000000002,"(452, 1482)"
73,260,0,1,2,276,True,9512.330000000002,"(125, 1155)"
74,35,0,0,1,43,True,856.75,"(169, 1199)"
75,303,0,0,1,348,True,10967.410000000003,"(81, 1111)"
76,43,0,0,1,19,True,2558.8800000000047,"(709, 1739)"
77,0,0,0,1,13,True,0.0,"(602, 1632)"
78,331,2,139,4,554,False,20938.89,"(92, 1122)"
79,2,0,0,1,235,True,68.33000000000175,"(374, 1404)"
80,0,1,0,0,46,True,0.0,"(508, 1538)"
81,439,1,4,0,586,False,17094.350000000006,"(454, 1484)"
82,2,0,0,1,203,True,75.44999999999709,"(962, 1992)"
83,0,0,0,1,293,True,0.0,"(397, 1427)"
84,370,2,150,121,387,False,14006.669999999998,"(567, 1597)"
85,212,213,171,57,351,True,5356.320000000007,"(629, 1659)"
86,3,0,0,1,431,True,135.61000000000058,"(380, 1410)"
87,44,0,0,1,275,True,1811.2899999999936,"(419, 1449)"
88,9,0,0,1,16,True,352.679999999993,"(44, 1074)"
89,345,37,120,68,460,False,17139.880000000005,"(629, 1659)"
90,24,2,0,1,1,True,1332.770000000004,"(721, 1751)"
91,14,15,128,1,430,True,8960.130000000005,"(811, 1841)"
92,32,33,173,0,142,True,12600.149999999994,"(940, 1970)"
93,110,0,0,1,240,True,4186.630000000005,"(270, 1300)"
94,110,0,0,1,33,True,4571.0,"(527, 1557)"
95,302,0,338,3,387,False,30453.050000000003,"(383, 1413)"
96,208,3,255,2,562,False,29392.910000000003,"(397, 1427)"
97,52,0,0,1,90,True,1806.5899999999965,"(21, 1051)"
98,0,1,1,0,415,True,18.410000000003492,"(255, 1285)"
99,0,0,0,1,172,True,0.0,"(73, 1103)"
